IndexLibID,SampleID,Ancient,H_support_deam,Deaminated(term3),variable,value,Site,support,sizes,sig,Significance,h_sizes,h_sig,h_Significance,h_support,Fragments,Support,Group
D5241,SP3834,++,5.0% (1 / 20),211,Neanderthal,^^^97.0% (32 / 33),"Denisova Cave, Russia",97,32,^^^,^^^,1,-,-,5,32,97,Neanderthal
D5240,SP3834,++,0.0% (0 / 10),176,Neanderthal,^^^62.5% (15 / 24),"Denisova Cave, Russia",62,15,^^^,^^^,0,-,-,0,15,62,Neanderthal
D5269,SP3876,++,0.0% (0 / 5),173,Neanderthal,^^^63.2% (12 / 19),"Denisova Cave, Russia",63,12,^^^,^^^,0,-,-,0,12,63,Neanderthal
D5266,SP3860,++,3.1% (4 / 128),1749,Neanderthal,^^^91.6% (272 / 297),"Denisova Cave, Russia",91,272,^^^,^^^,4,-,-,3,272,91,Neanderthal
D5265,SP3860,++,0.0% (0 / 9),181,Neanderthal,^^^95.0% (19 / 20),"Denisova Cave, Russia",95,19,^^^,^^^,0,-,-,0,19,95,Neanderthal
D5264,SP3860,++,6.1% (2 / 33),417,Neanderthal,^^^87.9% (51 / 58),"Denisova Cave, Russia",87,51,^^^,^^^,2,-,-,6,51,87,Neanderthal
D5268,SP3876,++,0.0% (0 / 10),169,Neanderthal,^^^70.4% (19 / 27),"Denisova Cave, Russia",70,19,^^^,^^^,0,-,-,0,19,70,Neanderthal
D5262,SP3860,++,0.0% (0 / 8),143,Neanderthal,^^^85.7% (18 / 21),"Denisova Cave, Russia",85,18,^^^,^^^,0,-,-,0,18,85,Neanderthal
D5261,SP3860,++,0.0% (0 / 25),336,Neanderthal,^^^93.0% (40 / 43),"Denisova Cave, Russia",93,40,^^^,^^^,0,-,-,0,40,93,Neanderthal
D5245,SP3876,++,0.0% (0 / 12),138,Neanderthal,^^^68.2% (15 / 22),"Denisova Cave, Russia",68,15,^^^,^^^,0,-,-,0,15,68,Neanderthal
D5243,SP3876,++,0.0% (0 / 11),218,Neanderthal,^^^80.0% (28 / 35),"Denisova Cave, Russia",80,28,^^^,^^^,0,-,-,0,28,80,Neanderthal
D5242,SP3834,++,6.7% (1 / 15),226,Neanderthal,^^^84.2% (32 / 38),"Denisova Cave, Russia",84,32,^^^,^^^,1,-,-,6,32,84,Neanderthal
D5263,SP3860,++,9.1% (1 / 11),81,Neanderthal,^^^84.6% (11 / 13),"Denisova Cave, Russia",84,11,^^^,^^^,1,-,-,9,11,84,Neanderthal
D5357,SP3609,++,20.0% (1 / 5),121,Neanderthal,^^^28.0% (33 / 118),"El Sidron, Spain",28,33,^^^,^^^,1,-,-,20,33,28,Neanderthal
L5777,SP3609,++,12.5% (4 / 32),426,Neanderthal,^^^57.7% (41 / 71),"El Sidron, Spain",57,41,^^^,^^^,4,-,-,12,41,57,Neanderthal
L5773,SP3609,++,10.6% (7 / 66),1006,Neanderthal,^^^85.5% (106 / 124),"El Sidron, Spain",85,106,^^^,^^^,7,-,-,10,106,85,Neanderthal
L5776,SP3609,++,^27.3% (3 / 11),193,Neanderthal,^^^28.8% (21 / 73),"El Sidron, Spain",28,21,^^^,^^^,3,^,^,27,21,28,Neanderthal
L5775,SP3609,++,2.7% (2 / 73),1143,Neanderthal,^^^88.8% (119 / 134),"El Sidron, Spain",88,119,^^^,^^^,2,-,-,2,119,88,Neanderthal
L5774,SP3609,++,3.5% (5 / 142),1956,Neanderthal,^^^89.3% (310 / 347),"El Sidron, Spain",89,310,^^^,^^^,5,-,-,3,310,89,Neanderthal
D5354,SP3609,++,14.3% (2 / 14),157,Neanderthal,^^^26.0% (13 / 50),"El Sidron, Spain",26,13,^^^,^^^,2,-,-,14,13,26,Neanderthal
D5359,SP3609,++,^26.3% (5 / 19),190,Neanderthal,^^^16.9% (25 / 148),"El Sidron, Spain",16,25,^^^,^^^,5,^,^,26,25,16,Neanderthal
D5357,SP3609,++,20.0% (1 / 5),121,Neanderthal,^^^28.1% (18 / 64),"El Sidron, Spain",28,18,^^^,^^^,1,-,-,20,18,28,Neanderthal
L5773,SP3609,++,10.6% (7 / 66),1006,Neanderthal,^^^88.5% (85 / 96),"El Sidron, Spain",88,85,^^^,^^^,7,-,-,10,85,88,Neanderthal
D5358,SP3609,++,^^^63.6% (7 / 11),161,Human,^^^84.2% (112 / 133),"El Sidron, Spain",84,112,^^^,^^^,7,^^^,^^^,63,7,63,Human
